Name in df1,Name in df2,Similarity score (0-100)
SELVA GARDENA,ELVA,90.0
TERMENO,TERMENOSULLASTRADADELVINOTRAMINANDERWEINSTRAE,90.0
TESIMO,TESIMOTISENS,90.0
TIRES,TIRESTIERS,90.0
TRIPI,TRIPIABAKAINON,90.0
SAN FLORIANO DEL COLLIO,COLLIO,90.0
SAN GENESIO,NE,90.0
SCENA,SCENASCHENNA,90.0
SALORNO,SALO,90.0
VIPITENO,VIPITENOSTERZING,90.0
VERANO,CHIAVERANO,90.0
VALLE AURINA,URI,90.0
CORIGLIANO,CORI,90.0
VILLABASSA,VILLABASSANIEDERDORF,90.0
VILLANDRO,VILLANDROVILLANDERS,90.0
TOSCOLANO,TOSCOLANOMADERNO,90.0
TRAVEDONA,TRAVEDONAMONATE,90.0
VADENA,VADENAPFATTEN,90.0
VALDAORA,VALDAORAOLANG,90.0
TUBRE,TUBRETAUFERSIMMUNSTERTAL,90.0
VANDOIES,VANDOIESVINTL,90.0
VELTURNO,VELTURNOFELDTHURNS,90.0
TRODENA,TRODENANELPARCONATURALETRUDENIMNATURPARK,90.0
ULTIMO,ULTIMOULTEN,90.0
BAIARDO,BARISARDO,87.5
SANTA CRISTINA,SANTACRISTINAEBISSONE,86.66666666666667
SAN PANCRAZIO,SANPANCRAZIOSTPANKRAZ,86.4
NOVA LEVANTE,NOVALEVANTEWELSCHNOFEN,86.08695652173914
SAN CANDIDO,SANCANDIDOINNICHEN,85.71428571428571
MOSO IN PASSIRIA,MOSOINPASSIRIAMOOSINPASSEIER,84.0
LA VALLE,CROSIODELLAVALLE,84.0
FIE ALLO SCILIAR,FIEALLOSCILIARVOLSAMSCHLERN,84.0
SAN MARTINO IN PASSIRIA,SANMARTINOINPASSIRIASTMARTININPASSEIER,83.72093023255813
CORTINA ALLADIGE,CORTINO,83.07692307692308
SAN MARTINO IN BADIA,SANMARTINOINBADIASTMARTININTHURN,82.7027027027027
SAN DORLIGO DELLA VALLE,SANDORLIGODELLAVALLEDOLINA,81.63265306122449
SAN LORENZO DI SEBATO,SANLORENZO,81.0
SAN JAN DI FASSA,RASSA,80.0
SEN JAN DI FASSA,RASSA,80.0
VALLE DI CASIES,VALLEDICASIESGSIES,78.78787878787878
VAL DI VIZZE,VALDINIZZA,72.72727272727273
